0 1 2 3 4 5 6 7 8 9 10 11 12 13
TG234 13 8 51.92 -23 11 57.2 P 8 19.91 0 0.0 0.0 Program
TG235 13 4 8.49 -23 34 54.7 P 8 19.44 0 0.0 0.0 Program
TG236 13 9 52.68 -24 49 38.6 P 8 19.37 0 0.0 0.0 Program
TG237 13 4 58.05 -24 37 20.2 P 8 19.11 0 0.0 0.0 Program
TG238 13 10 4.93 -24 11 18.3 P 8 19.78 0 0.0 0.0 Program
TG239 13 7 45.86 -24 50 28.5 P 8 19.82 0 0.0 0.0 Program
TG240 13 5 6.21 -23 53 15.3 P 8 19.6 0 0.0 0.0 Program
TG241 13 3 40.91 -24 1 13.1 P 8 19.59 0 0.0 0.0 Program
TG242 13 3 34.85 -24 0 32.5 P 8 19.95 0 0.0 0.0 Program
TG243 13 4 21.8 -24 11 37.6 P 8 19.46 0 0.0 0.0 Program
TG244 13 4 7.13 -24 32 46.2 P 8 19.69 0 0.0 0.0 Program
TG245 13 6 42.82 -24 53 58.7 P 8 19.52 0 0.0 0.0 Program
TG246 13 4 53.16 -24 33 17.0 P 8 19.8 0 0.0 0.0 Program
TG247 13 5 48.2 -23 56 19.2 P 8 19.45 0 0.0 0.0 Program
TG248 13 4 57.42 -23 40 49.9 P 8 18.78 0 0.0 0.0 Program
TG249 13 3 42.71 -23 41 11.3 P 8 18.33 0 0.0 0.0 Program
TG250 13 6 1.94 -23 24 33.1 P 8 18.13 0 0.0 0.0 Program
TG251 13 4 0.76 -24 18 39.4 P 8 19.66 0 0.0 0.0 Program
TG252 13 5 9.05 -24 12 11.0 P 8 19.62 0 0.0 0.0 Program
TG253 13 3 38.11 -23 57 19.4 P 8 19.4 0 0.0 0.0 Program
TG254 13 6 19.99 -23 25 48.6 P 8 19.06 0 0.0 0.0 Program
TG255 13 9 13.91 -23 33 58.1 P 8 19.64 0 0.0 0.0 Program
TG256 13 11 38.29 -24 14 4.3 P 8 18.93 0 0.0 0.0 Program
TG257 13 10 21.1 -24 43 27.2 P 8 19.1 0 0.0 0.0 Program
TG258 13 7 45.2 -23 48 3.5 P 8 19.16 0 0.0 0.0 Program
TG259 13 4 40.82 -23 28 2.7 P 8 19.47 0 0.0 0.0 Program
TG260 13 3 40.73 -24 19 21.1 P 8 19.8 0 0.0 0.0 Program
TG261 13 3 37.54 -23 54 45.9 P 8 19.38 0 0.0 0.0 Program
TG262 13 7 15.12 -24 52 3.1 P 8 19.9 0 0.0 0.0 Program
TG263 13 6 18.61 -24 27 9.9 P 8 19.06 0 0.0 0.0 Program
TG264 13 10 21.29 -24 7 48.7 P 8 19.9 0 0.0 0.0 Program
TG265 13 8 21.31 -24 16 4.9 P 8 19.44 0 0.0 0.0 Program
TG266 13 4 33.92 -24 34 0.2 P 8 18.64 0 0.0 0.0 Program
TG267 13 4 17.0 -24 1 51.8 P 8 19.38 0 0.0 0.0 Program
TG268 13 8 57.9 -24 48 35.1 P 8 19.64 0 0.0 0.0 Program
TG269 13 7 38.72 -23 3 15.6 P 8 19.99 0 0.0 0.0 Program
TG270 13 4 18.7 -23 46 25.0 P 8 19.96 0 0.0 0.0 Program
TG271 13 4 50.3 -23 23 1.7 P 8 18.98 0 0.0 0.0 Program
