RA DEC MAG_R MAG_G MAG_Z FLUX_R FLUX_G FLUX_Z FIBERFLUX_G FIBERFLUX_R FIBERFLUX_Z MW_TRANSMISSION_G MW_TRANSMISSION_R MW_TRANSMISSION_Z FLUX_IVAR_G FLUX_IVAR_R FLUX_IVAR_Z GAIA_PHOT_G_MEAN_MAG GAIA_PHOT_G_MEAN_MAG_1 MASKBITS FRACMASKED_G FRACMASKED_R FRACMASKED_Z FRACFLUX_G FRACFLUX_R FRACFLUX_Z FRACIN_G FRACIN_R FRACIN_Z NOBS_G NOBS_R NOBS_Z PROB LOCAL SEP
197.0031869283762 -23.70597864571322 17.376877 18.127375 16.774641 112.00814 56.111305 195.04883 4.604314 9.191029 16.005081 0.6692759 0.7630007 0.8595872 336.9815 169.14345 66.583725 0.0 0.0 0 0.00031254563 0.00045117078 0.00078484317 0.021186596 0.017060496 0.010585275 0.99999493 0.99999434 0.9999928 19 20 43 0.4385454703294185 True 0.3196141149949303
197.8129703580698 -24.49000118886744 17.377075 18.256607 16.690529 111.98753 49.814655 210.76003 3.0395617 6.8331895 12.860033 0.6861638 0.77591693 0.86769634 21.17547 14.165949 0.71509254 0.0 0.0 0 0.017470568 0.01831862 0.08828194 0.13232504 0.11035748 0.096725285 0.9945355 0.9940531 0.9942522 1 2 2 0.3386314831031863 True 0.970363571768344
197.5699557449305 -24.4516228727128 17.442415 17.99601 17.057198 105.44689 63.32803 150.35608 3.4066908 5.672448 8.088309 0.6911449 0.7797067 0.8700644 49.105373 41.325325 0.40178913 0.0 0.0 0 0.014859661 0.014223767 0.022917498 0.026872082 0.019007586 0.00803955 0.74862665 0.8253143 0.8687237 3 7 2 0.3672332108366521 True 0.7624560206823072
196.8070351964619 -23.10237948750942 17.458544 18.234495 16.786047 103.89216 50.839584 193.01073 7.346777 15.01335 27.891785 0.6668681 0.7611506 0.8584207 424.22415 229.2601 93.94571 0.0 0.0 0 0.01529015 0.00013825712 0.0040580533 0.00667437 0.006787715 0.0071548657 0.9999999 0.99999976 0.9766659 19 20 43 0.5562554870542427 True 0.9094389069325798
197.3267762227992 -23.38425585724011 17.465769 17.99791 17.06195 103.20296 63.21729 149.69923 0.6808129 1.1114349 1.6121724 0.70333904 0.7889469 0.87581694 39.77404 20.976498 7.1531954 0.0 0.0 0 0.08102886 0.06889135 0.06552525 0.922918 1.5141195 1.7599205 0.99062854 0.9905552 0.99057645 19 20 43 0.4904359549080564 True 0.7406338784371522
196.4081786837129 -23.16783887643551 17.46844 18.182528 16.876905 102.9495 53.332134 177.51607 6.7097116 12.952068 22.333282 0.6589868 0.7550793 0.854584 26.751152 14.99521 2.5662084 0.0 0.0 0 0.058462225 0.061776 0.061199922 0.06887767 0.054902826 0.04264385 0.8742602 0.5856363 0.637209 3 2 2 0.3682581635477241 True 0.9492756375256288
197.140522579551 -23.07757726956983 17.49041 18.461075 16.71951 100.88725 41.263878 205.20886 3.5055802 8.570894 17.433558 0.6764476 0.76849866 0.8630463 185.97234 83.585884 28.010607 0.0 0.0 2048 0.017882576 0.045956478 0.022042826 0.029922443 0.01702582 0.009878049 0.8749858 0.7703042 0.5974408 16 17 30 0.5427876048703182 True 0.9586025618168
197.0477551088272 -23.51948568409551 17.532978 18.376568 16.895739 97.008286 44.60394 174.46346 3.619731 7.8724856 14.158183 0.7026311 0.788412 0.8754847 197.29274 98.11795 36.43607 0.0 0.0 0 0.031633586 0.030030787 0.02985918 0.0599949 0.041077174 0.026702292 1.0 1.0000001 1.0 19 20 43 0.4993366033363665 True 0.5097423893732747
196.6126248877646 -23.28890554333266 17.53998 18.395634 16.83466 96.38463 43.82746 184.55931 5.9789476 13.148803 25.177603 0.6613214 0.75688016 0.85572344 410.51163 197.32274 81.64205 0.0 0.0 0 0.00046428005 0.00021686743 0.0072549162 0.020127896 0.018018985 0.011313025 0.9766592 0.9981619 0.9996211 19 20 43 0.4366437992377705 True 0.763194389403049
197.8352253521019 -23.82704691700879 17.552742 18.101105 17.206102 95.258316 57.485462 131.0869 1.5713937 2.6039333 3.5833256 0.6709612 0.76429445 0.86040217 27.70531 17.881815 0.16945696 0.0 0.0 0 0.0060401675 0.0066677867 0.0068744966 0.040374376 0.025949439 0.026112052 0.9977097 0.7485272 0.9973017 2 3 1 0.322102370094354 True 0.8817584024392269
197.2450118948929 -23.90286566978897 17.569 18.370255 16.952051 93.84259 44.863983 165.64545 2.844029 5.9488935 10.500638 0.6574192 0.7538689 0.8538174 148.48373 70.43865 28.928455 0.0 0.0 0 0.044072412 0.03840918 0.040179312 0.08344722 0.050392143 0.024419373 0.8910497 0.89633185 0.9958174 17 18 43 0.4441879692812159 True 0.3405455055610226
