RA	DEC	MAG_R	MAG_G	MAG_Z	FLUX_R	FLUX_G	FLUX_Z	FIBERFLUX_G	FIBERFLUX_R	FIBERFLUX_Z	MW_TRANSMISSION_G	MW_TRANSMISSION_R	MW_TRANSMISSION_Z	FLUX_IVAR_G	FLUX_IVAR_R	FLUX_IVAR_Z	GAIA_PHOT_G_MEAN_MAG	GAIA_PHOT_G_MEAN_MAG_1	MASKBITS	FRACMASKED_G	FRACMASKED_R	FRACMASKED_Z	FRACFLUX_G	FRACFLUX_R	FRACFLUX_Z	FRACIN_G	FRACIN_R	FRACIN_Z	NOBS_G	NOBS_R	NOBS_Z	PROB	LOCAL	SEP	0
196.1503961154833	-22.61067684394527	19.568104	21.513937	18.559328	14.885324	2.4798496	37.693714	0.9133674	5.4824977	13.883184	0.7170076	0.7992425	0.8821916	397.02005	148.35593	21.704802	0.0	0.0	0.0	0.032233927	0.1178068	0.02949094	0.006595753	0.002165527	0.0012212459	0.99552584	0.9950475	0.9956651	4.0	4.0	5.0	0.450034407312408	True	1.5528857000702052	 
197.0494233557829	-23.52780135229555	19.165894	20.905115	18.213778	21.559685	4.3446403	51.81904	0.972665	4.8267174	11.60109	0.7028514	0.78857845	0.8755881	608.09424	262.0899	97.46873	0.0	0.0	0.0	0.026681563	0.026206328	0.02624227	0.047996726	0.019685712	0.012345699	0.9999987	0.99999857	0.9999983	19.0	20.0	43.0	0.4993366033363665	True	0.5022066144880333	 
196.9821597220953	-22.37701580947819	18.084503	18.768131	17.580452	58.37125	31.099075	92.8579	5.013861	9.410741	14.970755	0.723312	0.80396956	0.8851063	489.02408	230.79231	119.60887	0.0	0.0	2048.0	0.002691707	0.0003503334	0.029175634	0.8075076	0.85617214	0.6156268	0.9999995	0.9999999	1.0000001	17.0	16.0	43.0	0.561145242053935	True	1.6337306438012695	 
196.2797440712727	-22.71870413060424	19.471502	20.663563	18.730383	16.270424	5.427184	32.199337	2.4844668	7.4483066	14.740274	0.72373605	0.8042871	0.8853018	432.4447	234.2894	27.415628	0.0	0.0	0.0	0.0029867715	0.004584759	0.006916251	0.018796068	0.029480526	0.019493926	0.99940807	0.9991779	0.8379525	3.0	4.0	5.0	0.4711679993657395	True	1.4054393607813198	 
197.6668227368186	-23.16929883517378	19.765692	20.89274	19.0132	12.40861	4.394443	24.81529	1.5747705	4.446687	8.892682	0.70583934	0.7908351	0.87698877	170.30492	92.276794	12.514617	0.0	0.0	0.0	0.0024446817	0.0042417143	0.0046732863	0.061662447	0.1294757	0.1152637	0.9999229	0.9998982	0.999846	1.0	2.0	3.0	0.3146024464774473	True	1.0987088661736475	 
196.6149087530556	-22.53122136484976	19.587305	20.350422	19.078516	14.624391	7.2415423	23.366478	1.3609536	2.7484639	4.391425	0.7178264	0.79985726	0.8825711	895.1597	408.6492	154.6441	0.0	0.0	0.0	0.010242985	0.0077944957	0.0033176383	0.007990924	0.008176199	0.007925699	1.0	0.9999999	0.99675554	19.0	20.0	44.0	0.6666336854004862	True	1.4987017616129203	 
195.8500871595224	-23.34732867482448	19.175795	20.48263	18.355848	21.363972	6.411331	45.463264	1.182769	3.9412472	8.387109	0.67161405	0.7647953	0.8607175	147.12648	60.23634	9.658367	0.0	0.0	0.0	0.059035745	0.1279136	0.11217071	0.05075201	0.02675791	0.010750842	0.7799857	0.7125076	0.9725193	4.0	3.0	5.0	0.0767566374567678	True	1.1579259844712362	 
195.9794702933511	-23.7018792380047	19.963655	20.619503	19.504541	10.340407	5.6519513	15.782784	0.5579817	1.0208436	1.5581353	0.66507006	0.75976753	0.8575479	106.34804	55.04492	6.124706	0.0	0.0	0.0	0.030737137	0.032440364	0.033020075	0.040100403	0.020637821	0.0019109375	0.97219193	0.970807	0.970342	3.0	4.0	5.0	0.0722010048188457	True	0.8870569140349541	 
196.066372992739	-22.55026527339397	19.749868	21.263533	18.610352	12.590775	3.1231081	35.963303	1.2688539	5.11537	14.611141	0.7191152	0.8008243	0.8831678	410.4567	173.34535	34.635937	0.0	0.0	0.0	2.1488474e-06	3.5695473e-06	5.587316e-06	3.079161	2.746478	1.7250412	0.99999994	1.0	0.99956995	4.0	4.0	7.0	0.4290069490681318	True	1.6412491978027317	 
197.5972073946669	-23.08041396918463	19.849483	20.742369	19.162676	11.487009	5.047224	21.623686	1.3690963	3.1159348	5.865582	0.71688277	0.7991488	0.8821338	1106.0968	531.2528	218.3313	0.0	0.0	0.0	0.0025739737	0.0005822338	0.0012807543	0.010404051	0.012830402	0.012822478	1.0000002	1.0000001	1.0000002	16.0	18.0	43.0	0.3154695682793642	True	1.1305445563417211	 
197.0417333652184	-23.42500603906953	19.705448	20.597244	19.049511	13.11658	5.7690234	23.999119	1.4135923	3.213975	5.88054	0.6907724	0.77942365	0.8698877	1073.8468	479.62195	186.80005	0.0	0.0	0.0	0.0014020432	0.037790373	0.013671512	0.0026653914	0.004099591	0.005190189	0.99976546	0.99972326	0.99966806	19.0	20.0	43.0	0.5164606768259088	True	0.5996989479739555	 
197.2163415337448	-23.199210366321	19.908833	21.058327	19.29348	10.875938	3.7728486	19.169373	0.5357564	1.5444175	2.7221112	0.6923562	0.780627	0.87063867	601.75146	294.5235	108.07937	0.0	0.0	2048.0	0.03563678	0.08879008	0.007209262	0.06409632	0.014463092	0.026227338	0.9473684	0.99999994	0.9767442	18.0	20.0	42.0	0.5159288696966724	True	0.862346438053598	 
